date,season,marketValue,fee,to.clubName
"Jul 10, 2025",25/26,€11.00m,€11.60m,Arsenal
"Jul 1, 2019",19/20,€2.00m,€3.50m,Brentford
"Jul 19, 2018",18/19,€2.00m,€3.50m,Fiorentina
"Aug 21, 2013",13/14,€400k,€350k,Bröndby IF
"Jul 1, 2012",12/13,€250k,-,Hamburger SV
"Jan 25, 2012",11/12,-,€400k,Hamburger SV II
"Jan 1, 2011",10/11,-,-,Lyngby BK U19
