date,season,marketValue,fee,to.clubName
"Jul 4, 2024",24/25,€35.00m,€31.90m,Arsenal
"Jun 30, 2024",23/24,€35.00m,End of loan,Brentford
"Aug 15, 2023",23/24,€30.00m,"Loan fee:<br /><i class=""normaler-text"">€3.50m</i>",Arsenal
"Jul 6, 2019",19/20,€1.50m,€3.35m,Brentford
"Jan 5, 2015",14/15,-,End of loan,Blackburn
"Sep 19, 2014",14/15,-,loan transfer,Southport
"Jul 1, 2013",13/14,-,-,Blackburn
"Jul 1, 2012",12/13,-,?,Blackburn U18
