date,season,marketValue,fee,to.clubName
"Jul 14, 2023",23/24,€42.00m,€40.00m,Arsenal
"Sep 18, 2020",20/21,€2.00m,-,Ajax
"Jan 1, 2019",18/19,-,-,Ajax U21
"Jul 1, 2018",18/19,-,-,Ajax U19
"Jul 1, 2016",16/17,-,-,Ajax U17
"Jul 1, 2014",14/15,-,?,Ajax Youth 
