date,season,marketValue,fee,to.clubName
"Jul 1, 2023",23/24,€55.00m,€75.00m,Arsenal
"Sep 4, 2020",20/21,€81.00m,€80.00m,Chelsea
"Jul 1, 2016",16/17,€100k,-,B. Leverkusen
"Jul 1, 2014",14/15,-,-,Leverkusen U17
"Jul 1, 2010",10/11,-,free transfer,Leverkusen Yth.
"Jul 1, 2009",09/10,-,free transfer,Aachen Yth.
