date,season,marketValue,fee,to.clubName
"Jul 6, 2025",25/26,€60.00m,€70.00m,Arsenal
"Sep 10, 2020",20/21,€250k,-,Real Sociedad
"Jul 1, 2018",18/19,-,-,Real Sociedad B
"Jul 1, 2017",17/18,-,-,Real Sociedad C
"Jul 1, 2016",16/17,-,-,R. Sociedad U19
