date,season,marketValue,fee,to.clubName
"Jul 1, 2019",19/20,-,-,Arsenal
"Jul 1, 2018",18/19,-,-,Arsenal U23
"Jul 1, 2017",17/18,-,-,Arsenal U18
"Jul 1, 2008",08/09,-,?,Arsenal Youth
