date,season,marketValue,fee,to.clubName
"Jan 23, 2023",22/23,€8.00m,€19.50m,Arsenal
"Aug 31, 2021",21/22,€400k,€2.40m,Spezia Calcio
"Aug 2, 2019",19/20,€200k,€250k,MSK Zilina
"Jan 16, 2019",18/19,-,€10k,Podbrezova
"Jul 1, 2018",18/19,-,-,Anderlecht U21
"Jul 1, 2017",17/18,-,-,Anderlecht U19
"Jul 15, 2016",16/17,-,€13k,Anderlecht U17
"Mar 7, 2016",15/16,-,-,GKS Tychy
