date,season,marketValue,fee,to.clubName
"Jul 18, 2025",25/26,€40.00m,€56.00m,Arsenal
"Jan 20, 2023",22/23,€15.00m,€35.00m,Chelsea
"Aug 1, 2020",20/21,€4.50m,-,PSV Eindhoven
"Aug 26, 2019",19/20,-,-,PSV U21
"Jan 1, 2019",18/19,-,-,PSV U19
"Jul 1, 2018",18/19,-,free transfer,PSV U17
"Jul 1, 2014",14/15,-,free transfer,Tottenham Yth.
