date,season,marketValue,fee,to.clubName
"Sep 1, 2020",20/21,€20.00m,€26.00m,Arsenal
"Jun 30, 2018",17/18,€600k,End of loan,LOSC Lille
"Feb 15, 2018",17/18,€600k,loan transfer,Din. Zagreb II
"Feb 14, 2018",17/18,€600k,End of loan,LOSC Lille
"Jul 1, 2017",17/18,€600k,loan transfer,Troyes
"Jan 31, 2017",16/17,€350k,€3.00m,LOSC Lille
"Jan 1, 2016",15/16,-,-,Avaí FC
