y,mw,datum_mw,verein,age
1000000,€1.00m,"Jun 3, 2022",Valencia CF U19,17
1000000,€1.00m,"Nov 7, 2022",Valencia Mestalla,18
1000000,€1.00m,"Dec 29, 2022",Valencia Mestalla,18
1000000,€1.00m,"Jun 13, 2023",Valencia CF,18
2000000,€2.00m,"Oct 13, 2023",Valencia CF,19
10000000,€10.00m,"Dec 22, 2023",Valencia CF,19
15000000,€15.00m,"Mar 21, 2024",Valencia CF,19
30000000,€30.00m,"Jun 7, 2024",Valencia CF,19
30000000,€30.00m,"Dec 27, 2024",Valencia CF,20
30000000,€30.00m,"Jun 9, 2025",Valencia CF,20
