date,season,marketValue,fee,to.clubName
"Jul 24, 2025",25/26,€30.00m,€15.00m,Arsenal
"Jan 1, 2023",22/23,€1.00m,-,Valencia
"Jul 1, 2022",22/23,€1.00m,-,Valencia B
"Jul 1, 2020",20/21,-,-,Valencia U19
"Jul 1, 2019",19/20,-,-,Valencia U18
