date,season,marketValue,fee,to.clubName
"Jun 30, 2025",24/25,€16.00m,End of loan,Arsenal
"Aug 30, 2024",24/25,€15.00m,loan transfer,Fulham
"Jun 30, 2022",21/22,€6.50m,End of loan,Arsenal
"Aug 31, 2021",21/22,€9.00m,loan transfer,Feyenoord
"Jul 1, 2019",19/20,€17.00m,-,Arsenal
"Jun 30, 2019",18/19,€17.00m,End of loan,Arsenal U23
"Aug 31, 2018",18/19,-,"Loan fee:<br /><i class=""normaler-text"">€500k</i>",TSG Hoffenheim
"Jul 1, 2017",17/18,-,-,Arsenal U23
"Jul 1, 2015",15/16,-,-,Arsenal U18
