date,season,marketValue,fee,to.clubName
"Jul 1, 2024",24/25,€2.00m,-,Arsenal
"Jul 1, 2023",23/24,-,-,Arsenal U21
"Jul 1, 2022",22/23,-,-,Arsenal U18
