date,season,marketValue,fee,to.clubName
"Jul 4, 2022",22/23,€50.00m,€52.20m,Arsenal
"Jan 1, 2017",16/17,€16.00m,€32.00m,Man City
"Jan 1, 2015",14/15,-,-,Palmeiras
