date,season,marketValue,fee,to.clubName
"Jun 30, 2025",24/25,€3.00m,End of loan,Arsenal
"Aug 13, 2024",24/25,€2.00m,loan transfer,Real Valladolid
"Jul 1, 2022",22/23,€800k,-,Arsenal
"Mar 10, 2022",21/22,€450k,End of loan,Arsenal U23
"Jan 24, 2022",21/22,€450k,loan transfer,Reading
"Jul 1, 2019",19/20,-,-,Arsenal U23
"Jul 1, 2018",18/19,-,?,Arsenal U18
"Jan 1, 2018",17/18,-,-,Nomme United
"Jan 1, 2017",16/17,-,-,FC Nomme U17
