y,mw,datum_mw,verein,age
500000,€500k,"Dec 10, 2019",Arsenal FC U23,17
450000,€450k,"Apr 8, 2020",Arsenal FC U23,17
800000,€800k,"Jun 15, 2022",Arsenal FC U23,20
1500000,€1.50m,"Nov 3, 2022",Arsenal FC,20
1500000,€1.50m,"Oct 9, 2023",Arsenal FC,21
2000000,€2.00m,"Dec 19, 2023",Arsenal FC,21
2000000,€2.00m,"May 27, 2024",Arsenal FC,22
3000000,€3.00m,"Oct 11, 2024",Real Valladolid CF,22
3000000,€3.00m,"Dec 27, 2024",Real Valladolid CF,22
3000000,€3.00m,"Jun 9, 2025",Real Valladolid CF,23
