date,season,marketValue,fee,to.clubName
"Aug 27, 2024",24/25,€50.00m,€32.00m,Arsenal
"Jul 12, 2018",18/19,€12.00m,€12.00m,Real Sociedad
"Jul 1, 2018",18/19,€10.00m,€7.00m,Newcastle
"Jun 30, 2018",17/18,€10.00m,End of loan,Bor. Dortmund
"Jul 28, 2017",17/18,€2.50m,"Loan fee:<br /><i class=""normaler-text"">€3.00m</i>",Newcastle
"Jul 1, 2016",16/17,€2.00m,€3.75m,Bor. Dortmund
"Jul 1, 2014",14/15,-,-,CA Osasuna
"Jul 1, 2013",13/14,-,-,Osasuna B
"Jul 1, 2012",12/13,-,-,Osasuna U19
