date,season,marketValue,fee,to.clubName
"Jul 30, 2021",21/22,€28.00m,€58.50m,Arsenal
"Jul 31, 2020",19/20,€5.50m,End of loan,Brighton
"Jul 1, 2019",19/20,-,loan transfer,Leeds
"May 31, 2019",18/19,-,End of loan,Brighton
"Jan 3, 2019",18/19,-,loan transfer,Peterborough
"Jul 1, 2018",18/19,-,-,Brighton
"May 31, 2018",17/18,-,End of loan,Brighton U23
"Aug 1, 2017",17/18,-,loan transfer,Newport County
"Jan 1, 2015",14/15,-,-,Brighton U21
"Jul 1, 2014",14/15,-,free transfer,Brighton U18
