date,season,marketValue,fee,to.clubName
"Jul 29, 2024",24/25,€45.00m,€45.00m,Arsenal
"Aug 31, 2023",23/24,€4.50m,€24.50m,Bologna
"Aug 31, 2022",22/23,€3.50m,€10.20m,FC Basel
"Jun 30, 2022",21/22,€3.50m,End of loan,AS Roma
"Jan 14, 2022",21/22,€4.00m,loan transfer,Genoa
"Sep 1, 2020",20/21,-,-,AS Roma
"Jul 1, 2018",18/19,-,-,Roma U19
"Jul 1, 2017",17/18,-,-,Roma U17
