date,season,marketValue,fee,to.clubName
"Jul 15, 2023",23/24,€90.00m,€116.60m,Arsenal
"Jul 1, 2017",17/18,-,-,West Ham
"Jul 1, 2016",16/17,-,-,West Ham U23
"Jul 1, 2015",15/16,-,-,West Ham U18
"Jul 1, 2013",13/14,-,free transfer,West Ham Yth.
