date,season,marketValue,fee,to.clubName
"Jul 22, 2022",22/23,€25.00m,€35.00m,Arsenal
"Jun 30, 2017",16/17,€4.50m,End of loan,Man City
"Aug 26, 2016",16/17,€4.00m,loan transfer,PSV Eindhoven
"Jul 4, 2016",16/17,€4.00m,€2.25m,Man City
"Feb 13, 2015",14/15,-,-,Ufa
"Jul 1, 2014",14/15,-,-,Career break
"Jul 1, 2012",12/13,-,-,Shakhtar U19
"Jan 1, 2010",09/10,-,free transfer,Shakhtar U17
