date,season,marketValue,fee,to.clubName
"Jun 30, 2025",24/25,€22.00m,End of loan,Arsenal
"Aug 27, 2024",24/25,€22.00m,"Loan fee:<br /><i class=""normaler-text"">€890k</i>",FC Porto
"Jul 1, 2022",22/23,€25.00m,€35.00m,Arsenal
"Jun 1, 2020",19/20,€625k,-,FC Porto
"Jul 1, 2019",19/20,-,-,FC Porto B
"Jul 1, 2017",17/18,-,-,FC Porto U19
"Jul 1, 2016",16/17,-,-,FC Porto U17
"Jul 1, 2015",15/16,-,-,Padroense U17
"Jul 1, 2013",13/14,-,-,FC Porto U15
